,#,ra,dec
220,324.211798,29.756025,
221,73.023998,21.469029,
222,46.080062,-29.773668,
223,345.998798,24.960212,
224,323.89682,-49.96336,
225,317.674293,-23.246931,
226,23.375389,-2.810887,
227,338.610079,-26.632432,
228,327.847752,-37.257659,
229,79.2472,-6.066109,
230,74.759273,-25.001742,
231,74.884915,-14.982146,
232,11.304451,-12.763801,
233,84.892205,-50.767127,
234,1.423157,-18.371607,
235,30.344125,-41.958287,
236,19.354696,15.914925,
237,16.922467,-29.845399,
238,7.417883,22.315315,
239,4.406687,-4.24506,
240,311.937257,-17.543253,
241,39.073233,-5.691492,
242,358.200127,-6.060031,
243,14.422904,-48.45467,
244,21.5266,-2.369308,
245,51.025944,-27.631406,
246,355.357743,4.994057,
247,340.059938,22.124992,
248,65.999488,-0.132766,
249,11.469873,17.607314,
250,44.54313,-59.761708,
251,68.944216,24.92375,
252,4.081838,-29.262993,
253,6.45746,-27.560519,
254,51.209017,21.26993,
255,346.397603,1.482193,
256,354.868475,-16.885343,
257,85.829868,-35.865402,
258,28.906193,6.209356,
259,9.481348,-0.677693,
260,1.274704,-30.318409,
261,359.350235,-9.546156,
262,9.926646,-57.373201,
263,34.584149,1.927703,
264,37.881192,5.232442,
265,48.443731,-10.493741,
266,14.814885,16.567264,
267,318.765744,0.11389,
268,28.020416,-9.377226,
269,350.642495,-80.220102,
270,54.264791,-10.037801,
271,60.300682,4.407918,
272,73.141926,-51.327086,
273,325.727295,24.156437,
274,345.113855,17.936394,
275,84.106454,27.393664,
276,19.297881,-18.590835,
277,67.595831,-27.487306,
278,26.940328,-42.145426,
279,66.206335,-0.127982,
280,314.936109,-9.341379,
281,19.588606,-44.646639,
282,53.900555,6.523822,
283,353.38315,-67.878055,
284,323.136918,-6.225978,
285,327.898377,-10.089213,
286,77.409062,-30.181565,
287,358.721858,-22.304126,
288,16.280057,22.227044,
289,16.919342,-36.102457,
290,14.403647,-47.589368,
291,79.089401,7.083811,
292,14.241175,7.418657,
293,331.258183,-11.586962,
294,83.334795,-62.352526,
295,340.423458,-10.536981,
296,65.429112,22.538286,
297,343.27312,-40.678183,
298,41.58682,-67.509784,
299,24.006895,27.756152,
300,325.232226,0.610731,
301,321.24194,-16.19802,
302,311.701588,-47.958978,
303,81.608382,27.875794,
304,341.173005,22.8312,
305,5.52573,-16.092225,
306,79.105954,-15.510403,
307,46.419044,17.570691,
308,3.645489,3.001619,
309,35.441343,2.40791,
310,351.655891,3.494406,
311,313.848692,-4.505806,
312,71.148805,22.957884,
313,88.168554,-11.216547,
314,346.721729,-5.186181,
315,354.073038,13.969868,
316,5.953101,-46.85076,
317,313.626825,28.053361,
318,354.483883,-30.938029,
319,77.729878,-33.933802,
320,27.24464,-60.788617,
321,5.523641,-47.08416,
322,347.941097,-11.750539,
323,45.723337,-19.355188,
324,346.668287,-56.16718,
325,21.095274,10.217962,
326,61.942836,-31.494938,
327,312.237545,-0.992669,
328,338.726535,-65.032491,
329,342.488731,-4.855864,
330,14.721157,-21.622933,
331,32.485552,-20.037521,
332,41.073049,16.871597,
333,32.83414,-7.299978,
334,6.163843,7.785245,
335,356.201321,-66.748074,
336,23.883832,-46.905737,
337,87.320871,1.656142,
338,64.670748,-19.612072,
339,343.992292,9.099813,
340,354.121742,12.84581,
341,332.380647,28.353599,
342,83.873928,-61.166247,
343,318.791147,-36.103968,
344,80.34218,17.740151,
345,348.984025,-73.296114,
346,12.615227,-16.330356,
347,354.147273,-42.595171,
348,25.945587,-65.153475,
349,54.175153,-15.468762,
350,359.449916,-8.827627,
351,352.368208,-22.910262,
352,50.883258,2.74226,
353,324.476238,28.718803,
354,15.91436,-48.381777,
355,354.218702,-25.827646,
356,68.982343,-4.013464,
357,341.511281,-22.601457,
358,87.702489,-28.31339,
359,34.259672,-32.840815,
360,6.196292,-46.763544,
361,62.777051,-53.369354,
362,40.104724,-32.789446,
363,75.271128,-42.49058,
364,318.658064,-8.064985,
365,356.584144,4.289706,
366,43.292943,21.070615,
367,83.507703,-6.136323,
368,16.217468,-60.802607,
369,53.600178,-20.761501,
370,83.578627,-65.588442,
371,50.60656,-75.392267,
372,325.60014,-0.678651,
373,49.33603,-2.517421,
374,41.48274,-19.302288,
375,66.226434,1.470715,
376,350.027628,-51.270755,
377,13.292002,-0.5018,
378,12.649839,-2.847121,
379,77.079271,-44.721699,
380,62.1882,1.236894,
381,87.808657,25.37674,
382,12.322496,16.378088,
383,47.730606,-0.033701,
384,8.782974,-76.981107,
385,29.030517,-34.526841,
386,89.124349,-28.569344,
387,340.045743,-33.030516,
388,34.498107,8.597995,
389,73.250363,-20.2685,
390,347.711093,-30.528047,
391,29.868836,-33.722838,
392,69.855632,7.652821,
393,13.790586,-66.852823,
394,77.635276,-25.16665,
395,25.354321,-14.280239,
396,357.233912,-13.946581,
397,59.845375,-3.897461,
398,60.005059,-16.152446,
399,336.324449,6.176159,
400,328.511197,17.044836,
401,58.010179,1.43746,
402,36.078272,-69.617253,
403,338.22266,-9.245205,
404,33.297173,28.246454,
405,344.667312,-45.013726,
406,76.379247,-44.051516,
407,354.986665,-1.371316,
408,320.589185,22.60549,
409,51.434421,-0.779685,
410,34.299411,-0.496622,
411,68.468248,19.144797,
412,16.533839,-18.596279,
413,320.08095,0.612414,
414,54.5028,3.213299,
415,334.940411,-21.311385,
416,47.929716,29.477188,
417,24.556489,-42.856633,
418,67.431115,-26.894355,
419,310.214283,-23.423969,
420,16.053704,-22.968734,
421,17.210841,-53.099848,
422,336.049079,6.255748,
423,87.11887,12.551759,
424,327.939762,2.690532,
425,314.347047,-2.533801,
426,333.212783,15.580786,
427,345.952597,-13.429764,
428,21.878129,-13.749733,
429,321.452377,-32.453556,
430,355.232137,16.193577,
431,340.661332,-0.229357,
432,66.790871,-17.876058,
433,16.496582,-66.080001,
434,8.545347,-63.795266,
435,42.786592,-30.958179,
436,324.249215,12.828614,
437,52.943486,-23.000974,
438,80.200465,19.82044,
439,320.741349,-40.364202,
440,16.678376,5.392872,
441,347.108155,-27.586402,
442,8.938112,-14.76402,
443,77.818417,-13.370615,
444,4.271071,19.53807,
445,10.343393,-23.411938,
446,333.564288,15.297395,
447,321.250789,9.004749,
448,69.779818,-22.242171,
449,311.320474,-5.314555,
450,24.857763,-6.00596,
451,16.212292,-30.028036,
452,14.844515,-69.046272,
453,43.098527,22.054287,
454,2.014852,17.497152,
455,329.66714,-25.720145,
456,316.376934,3.768885,
457,316.891046,-34.620305,
458,39.018149,-47.327161,
459,11.058588,-81.505937,
460,63.413364,-25.811304,
461,77.231213,2.774063,
462,6.447975,4.23059,
463,357.080612,29.245729,
464,64.301854,-0.733799,
465,75.542805,17.27854,
466,341.64933,-30.218083,
467,36.523418,26.956015,
468,2.942792,-30.553881,
469,34.959393,-28.311796,
470,66.422006,-21.105372,
471,13.507973,-12.413331,
472,4.417443,-3.386662,
473,12.407807,-19.702845,
474,63.12616,-33.652896,
475,17.429325,-12.184255,
476,355.681397,5.486059,
477,342.088694,3.807498,
478,356.539408,-56.632972,
479,329.989822,-30.221905,
480,24.199948,-18.275708,
481,310.622262,-83.644425,
482,46.023184,20.469256,
483,32.457978,-6.66308,
484,85.797766,10.332794,
485,39.182874,-43.177587,
486,329.347487,-27.794756,
487,337.884242,-61.425881,
488,342.09913,22.877453,
489,57.18619,-13.507689,
490,82.643045,-15.868465,
491,345.838029,11.377284,
492,335.025908,-62.376103,
493,57.259936,13.093154,
494,310.488051,-44.42535,
495,318.468985,3.112096,
496,318.841276,0.292104,
497,359.6137,12.970831,
498,73.644365,-3.392167,
499,46.894904,-42.168495,
500,348.271357,28.856551,
501,12.67671,-12.822063,
502,47.048448,10.162247,
503,350.407398,-14.436439,
504,331.126587,-54.745046,
505,66.755129,-35.640326,
506,87.142071,20.685498,
507,18.831862,-13.19937,
508,73.745287,-24.143077,
509,315.031849,-34.51052,
510,4.531335,-24.785074,
511,34.786073,-21.538608,
512,333.766702,-12.622002,
513,55.821606,-76.274735,
514,35.792424,-34.265691,
515,349.814199,7.365981,
516,19.628858,-23.535625,
517,323.167879,-10.206921,
518,69.036427,-40.862125,
519,35.147445,-13.259787,
520,49.178535,26.619236,
521,45.288647,-49.995038,
522,58.37571,-38.705871,
523,64.622963,24.151567,
524,89.991339,-7.264614,
525,74.399052,-16.816693,
526,43.869587,-48.162228,
527,34.762112,-4.069394,
528,3.805625,-40.287203,
529,79.270531,-32.583141,
530,74.94084,-27.506016,
531,65.986895,10.636641,
532,49.686632,-43.560588,
533,352.404109,22.489569,
534,59.19068,-39.177964,
535,41.773348,-0.246138,
536,61.108704,-32.433914,
537,40.645736,-23.281377,
538,321.837067,3.598479,
539,33.536099,-8.734388,
540,26.322698,2.539429,
541,62.818702,-27.961946,
542,40.082542,-52.858762,
543,47.029036,-38.235484,
544,342.291443,26.069402,
545,44.320331,3.44879,
546,332.572303,0.891981,
547,41.383741,-30.947316,
548,48.150409,4.352379,
549,329.955395,-51.923966,
550,85.099656,16.744803,
551,344.376034,25.533899,
552,70.944144,-50.039257,
553,51.153253,-13.6685,
554,19.981026,-1.516643,
555,61.494272,-19.9363,
556,18.88233,-34.225981,
557,9.448182,20.210195,
558,313.6157,-75.687828,
559,22.66398,4.283047,
560,354.289099,-24.892371,
561,63.394611,-36.105072,
562,321.253682,-74.295619,
563,21.668367,-36.325531,
564,48.891394,-16.153638,
565,84.429735,-61.450265,
566,81.665472,-74.191504,
567,64.161162,26.631096,
568,11.356604,4.666917,
569,31.89587,-0.187921,
570,48.611791,-12.478324,
571,358.0681,-46.577471,
572,14.33786,8.393195,
573,341.091403,-22.124465,
574,81.787448,-12.848928,
575,70.232722,-37.584003,
576,333.609122,-9.80927,
577,37.176777,-22.285921,
578,64.755985,10.563734,
579,78.054555,11.950133,
580,46.928798,-41.74554,
581,87.009868,17.892884,
582,343.378922,9.462532,
583,12.086596,-54.857347,
584,73.607994,23.515603,
585,331.5082,29.235501,
586,2.026045,-24.618615,
587,59.5225,-30.40992,
588,315.243947,-10.949882,
589,37.615993,-22.971034,
590,317.010324,-2.629883,
591,320.043113,-69.84427,
592,33.421526,2.054473,
593,321.828813,-42.291449,
594,5.153467,22.823949,
595,50.304842,6.757359,
596,312.483325,-57.815638,
597,325.304817,-22.667453,
598,27.20939,-3.943063,
599,20.987224,-33.554958,
600,326.010271,-49.896962,
601,26.304022,-35.635513,
602,73.060573,-28.190913,
603,25.023122,-56.307172,
604,7.162124,-32.9443,
605,75.343731,-63.467603,
606,350.222751,16.23079,
607,310.535513,-29.982635,
608,317.926616,-47.863668,
609,45.118198,-20.937837,
610,40.330948,-4.265228,
611,336.445989,29.537462,
612,88.457874,-5.659092,
613,336.711825,13.514764,
614,324.659964,-5.816633,
615,67.498824,-11.657116,
616,347.652064,16.803307,
617,1.666122,-31.736155,
618,339.351783,-44.948894,
619,88.309007,17.432866,
620,4.348037,-64.920468,
621,17.435215,26.981142,
622,23.509596,-58.967526,
623,43.858056,-61.957777,
624,327.112835,-0.404811,
625,29.261192,-11.117644,
626,83.415491,-28.915908,
627,30.843265,-63.301031,
628,4.273395,-77.851863,
629,351.060858,-7.565804,
630,7.268001,-29.098111,
631,320.9756,24.311019,
632,331.300789,-10.703938,
633,25.866233,-75.057786,
634,322.925707,-13.489994,
635,336.421155,-19.972531,
636,50.550193,-24.147357,
637,47.514913,-21.414984,
638,36.283672,-21.863119,
639,33.290159,-30.25201,
640,46.318344,-74.881741,
641,41.521416,-18.673726,
642,340.649133,-43.614463,
643,330.261867,-5.435903,
644,354.201412,4.812601,
645,46.148226,5.330384,
646,38.306955,-0.16354,
647,88.175453,-16.913073,
648,341.961161,-0.545079,
649,358.295826,-62.411471,
650,10.638038,7.93202,
651,6.301162,-78.405438,
652,22.302949,7.52448,
653,316.212338,3.959311,
654,78.03591,-22.394309,
655,63.500576,-44.176453,
656,356.889171,-26.060909,
657,73.129972,-18.020149,
658,67.323772,-18.210479,
659,72.557961,-2.197778,
660,78.309389,-1.803609,
661,326.547007,-3.157334,
662,36.748356,-43.572012,
663,331.672505,-64.838169,
664,62.957413,-30.031954,
665,0.195438,-35.44813,
666,316.555948,-45.834269,
667,35.777295,-76.390172,
668,75.25348,-28.523662,
669,50.643593,-41.681582,
670,7.280969,-14.669447,
671,26.808214,23.255002,
672,84.008537,-49.679826,
673,18.458354,21.165316,
674,23.632837,-19.468048,
675,357.869129,-9.544764,
676,56.647768,4.96256,
677,5.648425,-36.717701,
678,0.502986,-44.828645,
679,356.589245,18.952578,
680,69.32663,-2.579134,
681,59.70802,5.067849,
682,344.407321,-19.099961,
683,82.711076,28.134071,
684,88.234992,24.705291,
685,37.321535,-20.058745,
686,68.278944,-59.538578,
687,337.550831,-10.249745,
688,35.451206,-5.115115,
689,352.225044,-53.544714,
690,357.453338,-18.173047,
691,65.123324,-51.531656,
692,82.731023,-7.349585,
693,16.482803,-62.750585,
694,334.78806,-2.937498,
695,86.156263,-36.556586,
696,69.420544,-2.660455,
697,347.27968,17.93904,
698,41.635245,-57.286833,
699,30.234471,-55.136688,
700,46.013021,-78.30568,
701,29.276936,-57.154307,
702,36.144958,-30.216869,
703,44.745148,0.735077,
704,342.749768,-72.724301,
705,9.046643,-1.072811,
706,53.496817,27.141573,
707,354.409427,-71.946032,
708,314.522514,3.8714,
709,6.003698,-44.096444,
710,46.172853,-21.799805,
711,65.560023,-54.908508,
712,327.144896,-1.540598,
713,333.798962,20.291751,
714,1.89581,5.938013,
715,47.94472,-11.529963,
716,76.133741,20.597779,
717,66.318116,-72.515189,
718,339.161773,-67.262461,
719,38.668661,-31.429723,
720,339.054404,-61.295004,
721,310.183091,23.575374,
722,310.388561,-60.941142,
723,51.599487,29.498138,
724,44.463493,18.357794,
725,32.825981,-24.933143,
726,315.012596,2.895737,
727,330.092963,29.411217,
728,71.03747,-14.349666,
729,77.157851,-60.660005,
730,358.418964,-10.912491,
731,9.517533,-3.857977,
732,39.769709,-41.599043,
733,337.530794,-7.989911,
734,12.156318,28.837399,
735,60.962967,-59.506572,
736,356.676497,17.923528,
737,81.664945,-18.828533,
738,354.655069,4.472764,
739,46.04544,-2.966174,
740,80.009092,11.771592,
741,55.474912,-10.211677,
742,318.275384,11.497518,
743,23.785558,21.011415,
744,9.910842,-13.980238,
745,76.344696,-10.425545,
746,68.938561,-15.481159,
747,38.905981,1.44254,
748,333.166343,-23.401602,
749,67.533751,2.345888,
750,8.592862,28.20667,
751,86.123408,20.733855,
752,313.588736,22.252746,
753,330.654887,-67.787234,
754,38.651752,-21.857733,
755,11.0708,5.634133,
756,316.432794,22.945595,
757,58.646702,-41.40515,
758,42.972677,-3.05533,
759,16.080002,29.687271,
760,69.632073,10.136855,
761,52.009464,6.03767,
762,42.70092,18.858155,
763,320.499084,-34.925247,
764,344.20197,13.545971,
765,15.503657,-33.867036,
766,53.030781,-8.003765,
767,50.075479,-21.624951,
768,343.177104,28.821366,
769,317.59654,22.158319,
770,23.532549,-24.009266,
771,312.539327,-4.672189,
772,38.149128,-59.490307,
773,63.665922,-2.413867,
774,77.365159,-1.146818,
775,24.09374,-14.32353,
776,39.37195,9.089435,
777,358.065552,26.50035,
778,318.159074,13.947098,
779,70.226597,-13.054383,
780,77.838563,-48.897564,
781,87.545708,-34.688851,
782,353.275191,-23.373813,
783,88.617821,-21.14703,
784,32.29184,-61.636478,
785,86.477399,28.936928,
786,38.141706,-5.603502,
787,58.362805,-47.226718,
788,331.671214,-43.595561,
789,59.592151,1.840981,
790,14.538417,-30.989339,
791,65.423414,-7.593941,
792,54.145477,-61.884898,
793,19.015644,-33.309311,
794,61.976046,21.61548,
795,47.732865,1.862851,
796,319.971647,-41.367623,
797,23.862995,-38.590672,
798,322.60915,0.136197,
799,39.571114,-12.671162,
800,312.63015,21.200376,
801,353.714188,22.002987,
802,52.992949,-12.016825,
803,22.4486,-7.028908,
804,21.468993,-2.168286,
805,78.6615,-18.208924,
806,316.038673,2.644297,
807,3.001605,5.16044,
808,37.60957,-75.105679,
809,57.593982,-44.332291,
810,62.395788,-20.620995,
811,321.638639,-31.813643,
812,53.42112,-9.038419,
813,55.591371,-81.251786,
814,59.554495,-39.022529,
815,87.462063,24.507136,
816,355.582385,-17.071582,
817,80.00425,0.862977,
818,50.455796,11.28376,
819,70.88696,-20.357847,
820,356.421992,-2.94999,
821,38.619315,17.748507,
822,56.832353,17.376804,
823,342.654838,-31.279132,
824,328.056262,-64.37158,
825,338.900382,16.299956,
826,60.299554,-6.688968,
827,60.242484,-54.253807,
828,50.54534,-20.766969,
829,359.626505,-34.358187,
830,355.438286,-55.809543,
831,343.179844,-46.521711,
832,48.668473,-31.399438,
833,72.212227,-29.580061,
834,22.031861,19.316902,
835,329.888375,8.086867,
836,20.305626,-16.305079,
837,72.138106,-20.186643,
838,346.567531,-42.121276,
839,75.929765,20.53347,
840,48.263197,-24.033804,
841,351.725535,-28.792016,
842,55.264285,-83.984787,
843,68.205179,-42.141952,
844,34.033798,10.096166,
845,6.900733,-44.189201,
846,32.293549,-15.269489,
847,313.048905,13.480801,
848,339.125021,-37.110493,
849,46.472591,3.572755,
850,69.074318,-62.394352,
851,28.181344,-28.784926,
852,25.084287,-21.034448,
853,51.967756,-39.784397,
854,349.760256,-76.084598,
855,79.744777,-34.593796,
856,82.531542,-34.775456,
857,64.851646,-57.405088,
858,74.591317,22.654447,
859,21.114877,18.874658,
860,80.244991,-18.563563,
861,25.561943,16.093495,
862,87.722239,18.914553,
863,34.941768,-13.213563,
864,76.918348,-16.410388,
865,18.437854,-53.464519,
866,357.181798,-15.728125,
867,42.642553,-7.43822,
868,11.836685,-64.824473,
869,330.090492,5.780789,
870,340.341214,-31.603967,
871,314.965269,23.463101,
872,341.546379,1.954484,
873,56.927023,-29.51149,
874,51.644954,22.541289,
875,45.741746,-79.074283,
876,359.260543,-42.255396,
877,8.07879,1.657686,
878,54.212102,-38.165371,
879,69.655421,-15.900154,
880,343.303777,-76.351212,
881,19.146599,7.774083,
882,37.201966,27.68556,
883,332.877903,-48.026851,
884,335.772126,-7.908723,
885,44.69024,7.802894,
886,29.298899,28.7308,
887,51.002541,12.870245,
888,350.898779,23.608791,
889,39.497949,2.272608,
890,353.913234,2.691489,
891,67.365013,-29.574579,
892,17.490895,-41.559415,
893,56.048988,17.515274,
894,76.429984,-4.801188,
895,336.712682,29.163562,
896,55.581599,-36.508616,
897,74.831521,-12.015544,
898,27.447699,12.38611,
899,19.806437,-21.943189,
900,339.37266,-26.315374,
901,349.22932,-17.025976,
902,327.769012,-62.29671,
903,25.465401,15.80565,
904,336.866651,-2.024165,
905,330.752841,-12.6103,
906,29.955565,15.799222,
907,314.700918,-72.214356,
908,36.457262,9.049119,
909,338.910254,-3.109569,
910,73.526434,-73.776343,
911,64.116706,13.158117,
912,30.05006,18.207028,
913,78.136295,-22.357721,
914,336.643971,21.016055,
915,19.720922,6.918422,
916,86.937165,-8.515259,
917,25.894593,4.876674,
918,3.29752,19.682812,
919,34.255842,29.893644,
920,62.884854,13.877454,
921,62.775203,-27.058958,
922,311.329337,-4.618993,
923,318.043658,10.140749,
924,2.429676,-29.126268,
925,52.66073,-11.236907,
926,57.386669,-19.620521,
927,89.050792,-76.139675,
928,325.632578,-21.059966,
929,343.991228,11.831791,
930,81.995571,-47.191312,
931,340.446175,-55.49548,
932,89.849269,-17.238709,
933,61.473414,-39.230627,
934,350.545289,-5.560443,
935,49.081787,16.019193,
936,22.722083,-12.177157,
937,317.290753,-61.485998,
938,353.714876,4.835552,
939,63.699782,6.411242,
940,37.374804,-18.182263,
941,356.249599,-9.211209,
942,69.354534,21.791737,
943,66.884585,20.243002,
944,87.197112,-58.430351,
945,341.393302,-79.108815,
946,11.826874,-46.496059,
947,61.348364,5.290714,
948,316.453586,1.2224,
949,10.640436,-78.39187,
950,327.89309,24.5987,
951,46.377388,-7.654166,
952,346.460604,-6.137682,
953,83.528588,-15.823248,
954,317.004523,-68.590456,
955,61.14437,-29.311432,
956,83.56594,-19.701924,
957,64.306153,-18.062639,
958,37.34759,-44.064718,
959,314.133122,-2.671307,
960,44.891587,7.239996,
961,20.832412,10.603023,
962,30.075629,-2.047498,
963,53.320007,-23.705115,
964,35.934731,-3.646014,
965,21.064439,-7.678087,
966,50.106174,11.109293,
967,43.182488,-12.438794,
968,9.802338,-48.496262,
969,345.49775,23.816212,
970,28.668591,-14.62916,
971,336.84398,-52.431866,
972,22.95305,-13.143894,
973,333.012484,-40.759336,
974,342.760207,20.792405,
975,50.527083,12.472984,
976,321.631564,-0.719999,
977,319.297273,20.015955,
978,339.250727,9.814409,
979,0.011262,2.403286,
980,16.54503,-6.254658,
981,40.288604,-3.928481,
982,23.670562,-8.278803,
983,55.813292,-11.031305,
984,36.462672,17.277104,
985,56.390282,3.62115,
986,322.1658,-43.266335,
987,6.104706,-35.239207,
988,356.93252,15.036916,
989,317.157549,-53.902088,
990,316.850214,-65.822057,
991,67.514784,-47.594702,
992,348.80625,15.4724,
993,343.27024,-40.395851,
994,89.272751,15.758952,
995,28.266703,-0.651254,
996,320.032107,-41.809595,
997,86.139106,-20.325737,
998,36.466105,-19.074825,
999,19.698243,-25.058704,
1000,3.474501,26.290103,
1001,30.509233,-14.817925,
1002,3.659091,-69.247168,
1003,339.837762,26.142104,
1004,25.908323,21.723504,
1005,310.282305,-81.193113,
1006,13.25587,-69.204954,
1007,28.173879,-6.312898,
1008,346.720766,29.156478,
1009,351.892757,-1.315403,
1010,62.390486,-12.738576,
1011,73.503763,-54.046746,
1012,77.375886,-51.365821,
1013,325.840383,-15.457516,
1014,51.899445,-40.849857,
1015,21.311921,-11.620744,
1016,19.162276,29.36298,
1017,38.019642,12.524347,
1018,42.473369,-52.20148,
1019,79.544236,-31.973181,
1020,350.170141,2.423662,
